Ability Name,Hero,Agi Winrate,Agi Avg Pick Order,Int Winrate,Int Avg Pick Order,Str Winrate,Str Avg Pick Order,Melee Winrate,Melee Avg Pickorder,Ranged Winrate,Ranged Avg Pickorder,Total Winrate,Total Avg Pickorder,Img_link
Acid Spray,Alchemist,47.70%,30.66,48.84%,29.66,46.48%,30.37,45.93%,30.33,49.52%,31.63,51.62%,31.84,skills\alchemist_acid_spray.png
Acorn Shot,Hoodwink,53.26%,14.54,48.04%,15.03,43.01%,16.76,43.21%,17.07,51.96%,14.44,54.32%,14.64,skills\hoodwink_acorn_shot.png
Adaptive Strike (Agility),Morphling,49.09%,33.07,41.46%,31.44,37.54%,30.65,43.81%,32.54,48.99%,34.38,51.83%,34.6,skills\morphling_adaptive_strike_agi.png
Adaptive Strike (Strength),Morphling,48.42%,32.52,47.20%,32.02,49.25%,32.69,49.01%,32.73,48.26%,32.89,53.75%,32.73,skills\morphling_adaptive_strike_str.png
Aether Remnant,Void Spirit,52.57%,31.34,49.76%,30.48,51.25%,31.41,50.06%,31.17,51.75%,30.23,56.59%,30.56,skills\void_spirit_aether_remnant.png
Aftershock,Earthshaker,54.55%,6.89,52.95%,7,56.05%,6.71,55.85%,6.68,52.95%,5.56,61.50%,5.25,skills\earthshaker_aftershock.png
Alacrity (AD),Invoker,47.66%,17.55,53.42%,16.84,44.24%,18.33,44.97%,18.33,51.82%,18.49,53.26%,18.1,skills\invoker_alacrity.png
Anchor Smash,Tidehunter,46.18%,17.7,46.10%,19.26,45.96%,15.01,46.02%,15.43,46.07%,16.54,51.13%,16.28,skills\tidehunter_anchor_smash.png
Ancient Seal,Skywrath Mage,48.59%,27.37,51.12%,25.21,49.23%,27.41,48.54%,27.52,50.99%,27.13,53.90%,26.71,skills\skywrath_mage_ancient_seal.png
Aphotic Shield,Abaddon,51.36%,28.95,51.30%,28.3,50.77%,28.21,50.53%,28.23,51.91%,27.53,57.49%,27.25,skills\abaddon_aphotic_shield.png
Arc Lightning,Zeus,45.99%,24.56,45.70%,24.97,46.42%,23.81,46.94%,23.71,45.52%,25.27,49.63%,24.75,skills\zuus_arc_lightning.png
Arcane Aura,Crystal Maiden,49.82%,28.11,49.08%,26.48,50.22%,27.94,50.53%,28.09,48.92%,28.81,54.52%,28.53,skills\crystal_maiden_brilliance_aura.png
Arcane Bolt,Skywrath Mage,44.96%,23.95,48.00%,22.48,45.53%,23.16,45.38%,23.13,47.82%,23.55,52.86%,23.4,skills\skywrath_mage_arcane_bolt.png
Arcane Curse,Silencer,47.83%,27.44,50.78%,26.15,49.17%,27.81,47.44%,27.68,50.91%,27.48,54.18%,27.05,skills\silencer_curse_of_the_silent.png
Arcane Orb,Outworld Devourer,45.59%,25.28,50.14%,24.15,44.09%,25.77,44.28%,26.06,49.44%,26.35,55.68%,26.47,skills\obsidian_destroyer_arcane_orb.png
Arcane Supremacy,Rubick,47.37%,6.75,48.65%,5.85,51.22%,7.11,49.57%,6.94,48.71%,5.96,52.23%,6,skills\rubick_arcane_supremacy.png
Arctic Burn,Winter Wyvern,57.95%,3.37,60.22%,3.3,52.83%,3.44,52.09%,3.45,60.09%,2.86,64.80%,2.77,skills\winter_wyvern_arctic_burn.png
Arena Of Blood,Mars,49.03%,30.76,48.00%,30.02,51.79%,29.94,50.84%,30.08,49.09%,30.94,55.01%,30.88,skills\mars_arena_of_blood.png
Assassinate,Sniper,47.34%,21.76,48.98%,19.17,46.43%,20.67,47.31%,20.62,48.05%,21.17,52.25%,21.89,skills\sniper_assassinate.png
Astral Imprisonment,Outworld Devourer,45.94%,15.11,49.98%,14.43,49.73%,15.23,47.94%,15.11,49.72%,12.88,53.89%,12.25,skills\obsidian_destroyer_astral_imprisonment.png
Astral Spirit,Elder Titan,48.93%,26.07,48.83%,26.21,46.99%,24.94,47.17%,25.15,49.18%,24.95,55.00%,24,skills\elder_titan_ancestral_spirit.png
Astral Step,Void Spirit,55.58%,10.79,50.85%,9.34,56.31%,9.6,53.87%,9.14,54.07%,7.73,57.89%,7.75,skills\void_spirit_astral_step.png
Atrophy Aura,Underlord,58.04%,4.9,55.43%,5.03,50.60%,4.96,51.12%,5,58.59%,5.14,60.73%,4.85,skills\abyssal_underlord_atrophy_aura.png
Avalanche,Tiny,53.39%,17.99,51.62%,16.73,52.97%,16.94,53.16%,16.99,51.87%,16.09,58.32%,16.26,skills\tiny_avalanche.png
Bad Juju,Dazzle,43.22%,19.79,42.72%,17.48,43.03%,19.02,42.01%,19.21,43.60%,12.63,46.93%,19.52,skills\dazzle_bad_juju.png
Ball Lightning,Storm Spirit,46.99%,18.04,49.19%,13.68,47.10%,17.48,46.84%,17.35,49.00%,17.04,55.82%,15.39,skills\storm_spirit_ball_lightning.png
Bash of the Deep,Slardar,54.65%,2.5,52.45%,2.54,47.21%,2.6,46.98%,2.59,55.10%,2.73,55.26%,2.77,skills\slardar_bash.png
Battery Assault,Clockwerk,49.54%,23.88,48.57%,23.3,51.82%,21.92,51.59%,22.21,47.10%,21.89,55.10%,21.67,skills\rattletrap_battery_assault.png
Battle Hunger,Axe,47.34%,28.93,47.28%,27.14,48.31%,28.27,48.08%,28.41,47.34%,29.43,52.46%,29.79,skills\axe_battle_hunger.png
Battle Trance,Troll Warlord,49.58%,23.8,50.90%,24.48,46.30%,24.6,45.93%,24.41,50.85%,26.74,53.25%,26.91,skills\troll_warlord_battle_trance.png
Berserker's Blood,Huskar,53.18%,4.85,54.04%,4.88,54.55%,4.26,54.27%,4.37,54.06%,4.56,57.55%,4.6,skills\huskar_berserkers_blood.png
Berserker's Call,Axe,49.20%,19.85,51.36%,20.09,53.82%,18.84,53.37%,18.97,48.44%,17.66,56.33%,17.7,skills\axe_berserkers_call.png
Black Hole,Enigma,49.25%,13.47,49.51%,11.76,52.44%,13.8,51.34%,13.86,49.61%,12.48,54.40%,12.47,skills\enigma_black_hole.png
Blade Dance,Juggernaut,48.10%,20.56,47.78%,19.69,44.36%,20.68,46.11%,20.87,48.33%,23.19,53.12%,23.96,skills\juggernaut_blade_dance.png
Blade Fury,Juggernaut,54.94%,7.85,52.43%,8.59,56.22%,7.74,55.69%,7.62,52.85%,6.16,59.30%,6.55,skills\juggernaut_blade_fury.png
Blast Off!,Techies,46.12%,21.58,46.80%,20.74,49.74%,21.59,48.20%,21.54,47.25%,17.21,53.81%,19.72,skills\techies_suicide.png
Blink,Anti-Mage,53.56%,5.67,53.42%,5.19,55.11%,5.22,54.07%,5.27,53.89%,4.62,59.41%,5.73,skills\antimage_blink.png
Blink,Queen of Pain,49.84%,6.37,51.39%,6.59,52.20%,6.48,50.30%,6.29,52.18%,5.91,54.80%,4.63,skills\queenofpain_blink.png
Blink Strike,Riki,47.76%,19.31,48.34%,21.44,49.87%,19.56,48.43%,19.07,49.77%,20.24,54.83%,20.51,skills\riki_blink_strike.png
Blood Rite,Bloodseeker,49.72%,28.04,51.26%,27.53,51.02%,28.48,50.00%,28.2,51.37%,28.41,54.53%,28.5,skills\bloodseeker_blood_bath.png
Bloodlust,Ogre Magi,50.17%,23.44,50.30%,22.63,47.16%,23.86,46.79%,23.46,52.02%,23.97,54.88%,23.97,skills\ogre_magi_bloodlust.png
Bloodrage,Bloodseeker,46.97%,23.69,47.26%,22.9,44.09%,24.52,43.15%,23.95,49.47%,24.55,52.07%,24.53,skills\bloodseeker_bloodrage.png
Blur,Phantom Assassin,53.13%,18.2,54.29%,17.53,52.59%,18.06,51.26%,18.15,55.52%,17.65,58.61%,17.68,skills\phantom_assassin_blur.png
Borrowed Time,Abaddon,57.47%,11.91,58.44%,11.91,55.05%,10.55,55.34%,10.7,58.52%,10.67,60.07%,10.79,skills\abaddon_borrowed_time.png
Boulder Smash,Earth Spirit,44.57%,33.17,44.23%,32.43,44.58%,32.47,44.84%,32.51,43.88%,33.76,50.82%,33.15,skills\earth_spirit_boulder_smash.png
Boundless Strike,Monkey King,52.26%,17.47,51.99%,17.66,49.75%,17.03,51.05%,16.99,52.03%,18.02,56.99%,17.63,skills\monkey_king_boundless_strike.png
Brain Sap,Bane,46.94%,26.68,50.07%,24.85,50.03%,27.4,48.35%,27.31,50.03%,26.51,54.29%,27.01,skills\bane_brain_sap.png
Bramble Maze,Dark Willow,52.11%,23.94,52.52%,22.58,53.25%,23.79,52.42%,23.76,52.71%,24.24,56.99%,23.86,skills\dark_willow_bramble_maze.png
Breathe Fire,Dragon Knight,45.45%,33.16,45.67%,32.19,45.50%,32.9,45.09%,32.97,46.15%,34.02,53.48%,34.45,skills\dragon_knight_breathe_fire.png
Bristleback,Bristleback,49.29%,21.64,49.85%,22.49,50.00%,18.21,49.83%,18.55,49.94%,22.62,54.11%,22.76,skills\bristleback_bristleback.png
Bulldoze,Spirit Breaker,50.35%,28.4,49.93%,28.29,48.44%,27.9,47.82%,28.08,51.73%,28.5,54.84%,27.76,skills\spirit_breaker_bulldoze.png
Bulwark,Mars,49.83%,7.08,48.37%,7.68,56.24%,5.7,55.05%,5.81,49.05%,6.35,59.85%,6.43,skills\mars_bulwark.png
Burning Barrage,Clinkz,45.99%,23.4,48.97%,23.7,45.34%,24.73,45.17%,24.73,47.28%,23.84,51.25%,24.07,skills\clinkz_strafe.png
Burning Spear,Huskar,48.59%,24.25,47.61%,22.57,48.87%,24.86,49.07%,26.08,48.16%,26.09,53.77%,26.35,skills\huskar_burning_spear.png
Burrowstrike,Sand King,53.09%,3.43,52.71%,3.5,54.59%,3.39,54.11%,3.36,53.03%,2.82,57.15%,2.68,skills\sandking_burrowstrike.png
Bushwhack,Hoodwink,50.88%,29.26,48.50%,28.27,47.89%,29.5,47.35%,29.47,50.35%,27.36,54.27%,27.94,skills\hoodwink_bushwhack.png
Call Down,Gyrocopter,48.67%,32.57,48.76%,32.25,48.20%,33.17,47.09%,33.03,49.47%,33.97,53.87%,33.93,skills\gyrocopter_call_down.png
Call of the Wild Hawk,Beastmaster,49.59%,32.88,46.50%,32.72,45.25%,33.13,46.20%,32.96,47.22%,34.24,48.93%,34.28,skills\beastmaster_call_of_the_wild_hawk.png
